day,Hole ID,Depth Below Surface [m],Neutron Count (MD)
2016-06-25,MN-1,0.26670000000000005,4258
2016-06-25,MN-1,0.5715000000000001,5970
2016-06-25,MN-1,0.8763000000000001,4934
2016-06-25,MN-1,1.1811,5291
2016-06-25,MN-1,1.4859000000000002,5912
2016-06-25,MS-4,0.26670000000000005,4252
2016-06-25,MS-4,0.5715000000000001,4708
2016-06-25,MS-4,0.8763000000000001,5254
2016-06-25,MS-4,1.1811,5126
2016-06-25,MS-4,1.4859000000000002,6070
2016-07-25,500,0.26670000000000005,1422
2016-07-25,500,0.5715000000000001,4315
2016-07-25,500,0.8763000000000001,4765
2016-07-25,500,1.1811,4480
2016-07-25,500,1.4859000000000002,4604
2016-07-25,500,1.7907,4201
2016-07-25,501,0.26670000000000005,1308
2016-07-25,501,0.5715000000000001,4296
2016-07-25,501,0.8763000000000001,4687
2016-07-25,501,1.1811,4802
2016-07-25,501,1.4859000000000002,4554
2016-07-25,501,1.7907,4338
2016-07-25,501,2.0955000000000004,4096
2016-07-25,501,2.4003000000000005,3986
2016-07-25,501,2.7051,4051
2016-07-25,501,3.0099,4127
2016-07-25,501,3.3147,4244
2016-07-25,501,3.6195000000000004,4281
2016-07-25,501,3.9242999999999997,4690
2016-07-25,501,4.2291,5453
2016-07-25,501,4.5339,4964
2016-07-25,501,4.8387,5590
2016-07-25,501,5.1435,5980
2016-07-25,501,5.4483,5770
2016-07-25,501,5.7531,5726
2016-07-25,501,6.0579,5870
2016-07-25,501,6.3627,6113
2016-07-25,501,6.6675,5669
2016-07-25,501,6.972300000000001,5550
2016-07-25,501,7.2771,5316
2016-07-25,501,7.5819,4261
2016-07-25,501,7.886699999999999,4519
2016-07-25,501,8.1915,4263
2016-07-25,501,8.4963,4087
2016-07-25,501,8.8011,4034
2016-07-25,501,9.1059,4676
2016-07-25,502,0.26670000000000005,2357
2016-07-25,502,0.5715000000000001,4983
2016-07-25,502,0.8763000000000001,5277
2016-07-25,502,1.1811,5970
2016-07-25,502,1.4859000000000002,5639
2016-07-25,502,1.7907,5654
2016-07-25,503,0.26670000000000005,3823
2016-07-25,503,0.5715000000000001,3773
2016-07-25,503,0.8763000000000001,3915
2016-07-25,503,1.1811,3983
2016-07-25,503,1.4859000000000002,3997
2016-07-25,503,1.7907,4132
2016-07-25,503,2.0955000000000004,4082
2016-07-25,503,2.4003000000000005,3975
2016-07-25,503,2.7051,3839
2016-07-25,503,3.0099,4293
2016-07-25,503,3.3147,3963
2016-07-25,503,3.6195000000000004,3907
2016-07-25,503,3.9242999999999997,3794
2016-07-25,503,4.2291,3865
2016-07-25,503,4.5339,4096
2016-07-25,503,4.8387,4110
2016-07-25,503,5.1435,3977
2016-07-25,503,5.4483,4009
2016-07-25,503,5.7531,4152
2016-07-25,503,6.0579,3973
2016-07-25,503,6.3627,4138
2016-07-25,503,6.6675,4101
2016-07-25,503,6.972300000000001,4139
2016-07-25,503,7.2771,4225
2016-07-25,503,7.5819,4097
2016-07-25,505,0.26670000000000005,3123
2016-07-25,505,0.5715000000000001,4377
2016-07-25,505,0.8763000000000001,3940
2016-07-25,505,1.1811,4568
2016-07-25,505,1.4859000000000002,4562
2016-07-25,505,1.7907,4492
2016-07-25,505,2.0955000000000004,4372
2016-07-25,505,2.4003000000000005,4835
2016-07-25,505,2.7051,4407
2016-07-25,505,3.0099,4510
2016-07-25,505,3.3147,4993
2016-07-25,505,3.6195000000000004,4510
2016-07-25,505,3.9242999999999997,4744
2016-07-25,505,4.2291,5200
2016-07-25,505,4.5339,5024
2016-07-25,505,4.8387,5612
2016-07-25,505,5.1435,5203
2016-07-25,505,5.4483,5336
2016-07-25,505,5.7531,5205
2016-07-25,505,6.0579,5160
2016-07-25,506,0.26670000000000005,3786
2016-07-25,506,0.5715000000000001,4767
2016-07-25,506,0.8763000000000001,4548
2016-07-25,506,1.1811,4781
2016-07-25,506,1.4859000000000002,5082
2016-07-25,506,1.7907,5416
2016-07-25,506,2.0955000000000004,5059
2016-07-25,506,2.4003000000000005,5328
2016-07-25,506,2.7051,5486
2016-07-25,506,3.0099,5639
2016-07-25,507,0.26670000000000005,4490
2016-07-25,507,0.5715000000000001,5612
2016-07-25,507,0.8763000000000001,4934
2016-07-25,507,1.1811,4834
2016-07-25,507,1.4859000000000002,4756
2016-07-25,508,0.26670000000000005,4501
2016-07-25,508,0.5715000000000001,6688
2016-07-25,508,0.8763000000000001,6410
2016-07-25,508,1.1811,7084
2016-07-25,508,1.4859000000000002,7409
2016-07-25,MN-1,0.26670000000000005,3443
2016-07-25,MN-1,0.5715000000000001,5680
2016-07-25,MN-1,0.8763000000000001,4801
2016-07-25,MN-1,1.1811,5093
2016-07-25,MN-1,1.4859000000000002,5608
2016-07-25,MN-1,1.7907,6588
2016-07-25,MN-1,2.0955000000000004,8023
2016-07-25,MS-4,0.26670000000000005,3186
2016-07-25,MS-4,0.5715000000000001,4077
2016-07-25,MS-4,0.8763000000000001,4803
2016-07-25,MS-4,1.1811,4841
2016-07-25,MS-4,1.4859000000000002,5647
2016-07-25,MS-4,1.7907,6321
2016-08-26,500,0.26670000000000005,1366
2016-08-26,500,0.5715000000000001,4360
2016-08-26,500,0.8763000000000001,4717
2016-08-26,500,1.1811,4460
2016-08-26,500,1.4859000000000002,4573
2016-08-26,500,1.7907,4064
2016-08-26,500,2.0955000000000004,4613
2016-08-26,501,0.26670000000000005,1116
2016-08-26,501,0.5715000000000001,4300
2016-08-26,501,0.8763000000000001,4651
2016-08-26,501,1.1811,4703
2016-08-26,501,1.4859000000000002,4563
2016-08-26,501,1.7907,4403
2016-08-26,501,2.0955000000000004,4207
2016-08-26,501,2.4003000000000005,3840
2016-08-26,501,2.7051,4087
2016-08-26,501,3.0099,4282
2016-08-26,501,3.3147,4227
2016-08-26,501,3.6195000000000004,4326
2016-08-26,501,3.9242999999999997,4623
2016-08-26,501,4.2291,5428
2016-08-26,501,4.5339,4720
2016-08-26,501,4.8387,5627
2016-08-26,501,5.1435,5869
2016-08-26,501,5.4483,5788
2016-08-26,501,5.7531,5610
2016-08-26,501,6.0579,5874
2016-08-26,501,6.3627,6241
2016-08-26,501,6.6675,5608
2016-08-26,501,6.972300000000001,5520
2016-08-26,501,7.2771,5396
2016-08-26,501,7.5819,4250
2016-08-26,501,7.886699999999999,4583
2016-08-26,501,8.1915,4106
2016-08-26,501,8.4963,4133
2016-08-26,501,8.8011,4086
2016-08-26,501,9.1059,4715
2016-08-26,502,0.26670000000000005,2322
2016-08-26,502,0.5715000000000001,4877
2016-08-26,502,0.8763000000000001,5103
2016-08-26,502,1.1811,5941
2016-08-26,502,1.4859000000000002,5558
2016-08-26,502,1.7907,5398
2016-08-26,503,0.26670000000000005,2780
2016-08-26,503,0.5715000000000001,3679
2016-08-26,503,0.8763000000000001,3839
2016-08-26,503,1.1811,3812
2016-08-26,503,1.4859000000000002,3937
2016-08-26,503,1.7907,3929
2016-08-26,503,2.0955000000000004,4016
2016-08-26,503,2.4003000000000005,3743
2016-08-26,503,2.7051,3745
2016-08-26,503,3.0099,3997
2016-08-26,503,3.3147,3703
2016-08-26,503,3.6195000000000004,3826
2016-08-26,503,3.9242999999999997,3826
2016-08-26,503,4.2291,3767
2016-08-26,503,4.5339,3985
2016-08-26,503,4.8387,4019
2016-08-26,503,5.1435,4008
2016-08-26,503,5.4483,4065
2016-08-26,503,5.7531,4124
2016-08-26,503,6.0579,3928
2016-08-26,503,6.3627,4208
2016-08-26,503,6.6675,4141
2016-08-26,503,6.972300000000001,4106
2016-08-26,503,7.2771,4161
2016-08-26,503,7.5819,4028
2016-08-26,503,7.886699999999999,4244
2016-08-26,505,0.26670000000000005,2974
2016-08-26,505,0.5715000000000001,4184
2016-08-26,505,0.8763000000000001,3868
2016-08-26,505,1.1811,4374
2016-08-26,505,1.4859000000000002,4464
2016-08-26,505,1.7907,4456
2016-08-26,505,2.0955000000000004,4320
2016-08-26,505,2.4003000000000005,4628
2016-08-26,505,2.7051,4435
2016-08-26,505,3.0099,4243
2016-08-26,505,3.3147,4679
2016-08-26,505,3.6195000000000004,4512
2016-08-26,505,3.9242999999999997,4613
2016-08-26,505,4.2291,4942
2016-08-26,505,4.5339,5005
2016-08-26,505,4.8387,5371
2016-08-26,505,5.1435,5225
2016-08-26,505,5.4483,5239
2016-08-26,505,5.7531,5179
2016-08-26,505,6.0579,5121
2016-08-26,506,0.26670000000000005,3507
2016-08-26,506,0.5715000000000001,4627
2016-08-26,506,0.8763000000000001,4597
2016-08-26,506,1.1811,4780
2016-08-26,506,1.4859000000000002,5091
2016-08-26,506,1.7907,5377
2016-08-26,506,2.0955000000000004,5021
2016-08-26,506,2.4003000000000005,5316
2016-08-26,506,2.7051,5346
2016-08-26,506,3.0099,5482
2016-08-26,506,3.3147,5851
2016-08-26,507,0.26670000000000005,4426
2016-08-26,507,0.5715000000000001,5504
2016-08-26,507,0.8763000000000001,4785
2016-08-26,507,1.1811,4768
2016-08-26,507,1.4859000000000002,4649
2016-08-26,508,0.26670000000000005,4773
2016-08-26,508,0.5715000000000001,6702
2016-08-26,508,0.8763000000000001,6552
2016-08-26,508,1.1811,7043
2016-08-26,508,1.4859000000000002,7231
2016-08-26,MN-1,0.26670000000000005,3034
2016-08-26,MN-1,0.5715000000000001,5374
2016-08-26,MN-1,0.8763000000000001,4841
2016-08-26,MN-1,1.1811,5007
2016-08-26,MN-1,1.4859000000000002,5419
2016-08-26,MN-1,1.7907,6329
2016-08-26,MN-1,2.0955000000000004,7171
2016-08-26,MS-4,0.26670000000000005,3141
2016-08-26,MS-4,0.5715000000000001,3863
2016-08-26,MS-4,0.8763000000000001,4726
2016-08-26,MS-4,1.1811,4741
2016-08-26,MS-4,1.4859000000000002,5206
2016-08-26,MS-4,1.7907,5924
2016-09-17,500,0.26670000000000005,1286
2016-09-17,500,0.5715000000000001,4253
2016-09-17,500,0.8763000000000001,4752
2016-09-17,500,1.1811,4498
2016-09-17,500,1.4859000000000002,4630
2016-09-17,500,1.7907,4085
2016-09-17,500,2.0955000000000004,4462
2016-09-17,500,2.4003000000000005,4851
2016-09-17,501,0.26670000000000005,1197
2016-09-17,501,0.5715000000000001,4201
2016-09-17,501,0.8763000000000001,4656
2016-09-17,501,1.1811,4858
2016-09-17,501,1.4859000000000002,4610
2016-09-17,501,1.7907,4476
2016-09-17,501,2.0955000000000004,4149
2016-09-17,501,2.4003000000000005,3942
2016-09-17,501,2.7051,4079
2016-09-17,501,3.0099,4175
2016-09-17,501,3.3147,4199
2016-09-17,501,3.6195000000000004,4445
2016-09-17,501,3.9242999999999997,4585
2016-09-17,501,4.2291,5411
2016-09-17,501,4.5339,4847
2016-09-17,501,4.8387,5548
2016-09-17,501,5.1435,5834
2016-09-17,501,5.4483,5770
2016-09-17,501,5.7531,5637
2016-09-17,501,6.0579,5866
2016-09-17,501,6.3627,6276
2016-09-17,501,6.6675,5646
2016-09-17,501,6.972300000000001,5390
2016-09-17,501,7.2771,5387
2016-09-17,501,7.5819,4256
2016-09-17,501,7.886699999999999,4486
2016-09-17,501,8.1915,4244
2016-09-17,501,8.4963,4027
2016-09-17,501,8.8011,4042
2016-09-17,501,9.1059,4728
2016-09-17,501,9.4107,6115
2016-09-17,502,0.26670000000000005,2139
2016-09-17,502,0.5715000000000001,4817
2016-09-17,502,0.8763000000000001,5076
2016-09-17,502,1.1811,5921
2016-09-17,502,1.4859000000000002,5449
2016-09-17,502,1.7907,5548
2016-09-17,502,2.0955000000000004,5719
2016-09-17,503,0.26670000000000005,2605
2016-09-17,503,0.5715000000000001,3628
2016-09-17,503,0.8763000000000001,3742
2016-09-17,503,1.1811,3775
2016-09-17,503,1.4859000000000002,3856
2016-09-17,503,1.7907,3776
2016-09-17,503,2.0955000000000004,3997
2016-09-17,503,2.4003000000000005,3684
2016-09-17,503,2.7051,3724
2016-09-17,503,3.0099,3978
2016-09-17,503,3.3147,3826
2016-09-17,503,3.6195000000000004,3857
2016-09-17,503,3.9242999999999997,3817
2016-09-17,503,4.2291,3804
2016-09-17,503,4.5339,3932
2016-09-17,503,4.8387,4093
2016-09-17,503,5.1435,3941
2016-09-17,503,5.4483,4044
2016-09-17,503,5.7531,4036
2016-09-17,503,6.0579,4030
2016-09-17,503,6.3627,4199
2016-09-17,503,6.6675,4108
2016-09-17,503,6.972300000000001,4205
2016-09-17,503,7.2771,4175
2016-09-17,503,7.5819,4018
2016-09-17,505,0.26670000000000005,2996
2016-09-17,505,0.5715000000000001,4171
2016-09-17,505,0.8763000000000001,3852
2016-09-17,505,1.1811,4332
2016-09-17,505,1.4859000000000002,4265
2016-09-17,505,1.7907,4383
2016-09-17,505,2.0955000000000004,4426
2016-09-17,505,2.4003000000000005,4510
2016-09-17,505,2.7051,4163
2016-09-17,505,3.0099,4101
2016-09-17,505,3.3147,4507
2016-09-17,505,3.6195000000000004,4454
2016-09-17,505,3.9242999999999997,4613
2016-09-17,505,4.2291,4993
2016-09-17,505,4.5339,4943
2016-09-17,505,4.8387,5275
2016-09-17,505,5.1435,5086
2016-09-17,505,5.4483,5266
2016-09-17,505,5.7531,5129
2016-09-17,505,6.0579,5186
2016-09-17,506,0.26670000000000005,3301
2016-09-17,506,0.5715000000000001,4568
2016-09-17,506,0.8763000000000001,4491
2016-09-17,506,1.1811,4720
2016-09-17,506,1.4859000000000002,5057
2016-09-17,506,1.7907,5448
2016-09-17,506,2.0955000000000004,5098
2016-09-17,506,2.4003000000000005,5390
2016-09-17,506,2.7051,5432
2016-09-17,506,3.0099,5295
2016-09-17,506,3.3147,5930
2016-09-17,507,0.26670000000000005,4343
2016-09-17,507,0.5715000000000001,5548
2016-09-17,507,0.8763000000000001,4865
2016-09-17,507,1.1811,4845
2016-09-17,507,1.4859000000000002,4688
2016-09-17,508,0.26670000000000005,4490
2016-09-17,508,0.5715000000000001,6611
2016-09-17,508,0.8763000000000001,6415
2016-09-17,508,1.1811,7008
2016-09-17,508,1.4859000000000002,7319
2016-09-17,MN-1,0.26670000000000005,3114
2016-09-17,MN-1,0.5715000000000001,5306
2016-09-17,MN-1,0.8763000000000001,4665
2016-09-17,MN-1,1.1811,4918
2016-09-17,MN-1,1.4859000000000002,5347
2016-09-17,MN-1,1.7907,6273
2016-09-17,MN-1,2.0955000000000004,7062
2016-09-17,MS-4,0.26670000000000005,3161
2016-09-17,MS-4,0.5715000000000001,3719
2016-09-17,MS-4,0.8763000000000001,4668
2016-09-17,MS-4,1.1811,4777
2016-09-17,MS-4,1.4859000000000002,5229
2016-09-17,MS-4,1.7907,5999
