SITE,LOCATION,TREE,NEW TREE TAG,PRESSURE [MPa],SPECIES (common),SPECIES (sci),DATE COLLECTED,TIME COLLECTED,TIME MEASURED,TIME OF DAY,Paired Measure Day,AGE,WEATHER NOTES,WHAT MEASURED,TREE NOTES,SHOOT HEIGHT ABOVE GROUND SURFACE [m],VIEWER,INSTRUMENT,APPROXIMATE DBH (CM)
SAGEHORN,SOUTH,205,,3.3,,QUGA,9/1/2015,7:15,802,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,205,,3.1,,QUGA,9/1/2015,7:15,805,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,205,,3.2,,QUGA,9/1/2015,7:15,808,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,208,,2.1,,QUGA,9/1/2015,7:22,810,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,208,,2.2,,QUGA,9/1/2015,7:22,812,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,206,,1.6,,QUGA,9/1/2015,7:15,814,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,206,,1.8,,QUGA,9/1/2015,7:15,81,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,207,,2.2,,QUGA,9/1/2015,7:10,819,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,207,,2.5,,QUGA,9/1/2015,7:10,820,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,207,,2.4,,QUGA,9/1/2015,7:10,822,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,NT ADJ,,3.8,,QUGA,9/1/2015,7:40,826,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,NT ADJ,,3.7,,QUGA,9/1/2015,7:40,828,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,NT,,3.8,,QUGA,9/1/2015,7:35,831,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,NT,,4,,QUGA,9/1/2015,7:35,833,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,210,,2.7,,ARME,9/1/2015,7:28,838,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,210,,2.6,,ARME,9/1/2015,7:28,841,pre-dawn,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,205,,4.4,,QUGA,9/1/2015,13:07,1344,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,205,,5.3,,QUGA,9/1/2015,13:07,1348,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,205,,4.8,,QUGA,9/1/2015,13:07,1351,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,208,,4.1,,QUGA,9/1/2015,13:21,1354,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,208,,4.8,,QUGA,9/1/2015,13:21,1357,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,208,,4,,QUGA,9/1/2015,13:21,1401,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,NT ADJ,,4.9,,QUGA,9/1/2015,13:31,1403,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,NT ADJ,,4.9,,QUGA,9/1/2015,13:31,1407,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,210,,3.1,,ARME,9/1/2015,13:26,1411,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,210,,3.3,,ARME,9/1/2015,13:26,1414,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,NT,,5.7,,QUGA,9/1/2015,13:29,1419,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,NT,,4.3,,QUGA,9/1/2015,13:29,1422,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,NORTH,NT,,5.3,,QUGA,9/1/2015,13:29,1426,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,207,,4.7,,QUGA,9/1/2015,13:05,1428,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,207,,4.6,,QUGA,9/1/2015,13:06,1432,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,206,,4.3,,QUGA,9/1/2015,13:06,1435,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,SOUTH,206,,4.3,,QUGA,9/1/2015,13:06,1438,mid-day,9/1/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,South sandstone,90,,1.6,,PSME,9/26/2015,10:00,10:30,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,90,,1.6,,PSME,9/26/2015,10:00,10:33,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,88,,1.3,,ARME,9/26/2015,10:00,10:36,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,88,,1.4,,ARME,9/26/2015,10:00,10:38,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,89,,1.3,,ARME,9/26/2015,10:00,10:40,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,89,,1.4,,ARME,9/26/2015,10:00,10:42,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,91,,2,,ARME,9/26/2015,10:00,10:44,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,91,,2,,ARME,9/26/2015,10:00,10:45,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,205,,4.9,,QUGA,9/26/2015,12:32,1:19,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,205,,5.3,,QUGA,9/26/2015,12:32,1:23,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,206,,4.3,,QUGA,9/26/2015,12:30,1:26,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,206,,4,,QUGA,9/26/2015,12:30,1:28,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,207,,4.4,,QUGA,9/26/2015,12:35,1:31,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,207,,4.6,,QUGA,9/26/2015,12:35,1:33,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,90,,2,,PSME,9/26/2015,12:51,1:35,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,90,,2.1,,PSME,9/26/2015,12:51,1:37,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,89,,2.5,,ARME,9/26/2015,12:43,1:39,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,89,,2.3,,ARME,9/26/2015,12:43,1:41,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,88,,2.8,,ARME,9/26/2015,12:46,1:43,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,88,,2.3,,ARME,9/26/2015,12:46,1:45,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,208,,4.4,,QUGA,9/26/2015,13:02,1:48,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,208,,4.4,,QUGA,9/26/2015,13:02,1:51,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,210,,3.3,,ARME,9/26/2015,13:07,1:55,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,210,,3.2,,ARME,9/26/2015,13:07,1:57,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,91,,2.4,,ARME,9/26/2015,12:56,2:00,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,91,,2.6,,ARME,9/26/2015,12:56,2:02,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,209,,3.5,,QUGA,9/26/2015,13:05,2:05,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,209,,4,,QUGA,9/26/2015,13:05,2:08,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,206,,2,,QUGA,9/27/2015,7:25,7:56,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,206,,2,,QUGA,9/27/2015,7:25,7:59,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,207,,2.8,,QUGA,9/27/2015,7:28,8:01,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,207,,2.9,,QUGA,9/27/2015,7:28,8:03,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,91,,1.5,,ARME,9/27/2015,7:32,8:08,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,91,,1.5,,ARME,9/27/2015,7:32,8:10,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,205,,3.5,,QUGA,9/27/2015,7:25,8:13,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,205,,3.6,,QUGA,9/27/2015,7:25,8:15,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,89,,0.9,,ARME,9/27/2015,7:37,8:17,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,89,,0.9,,ARME,9/27/2015,7:37,8:19,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,88,,1.1,,ARME,9/27/2015,7:36,8:22,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,88,,1,,ARME,9/27/2015,7:36,8:23,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,90,,1.2,,PSME,9/27/2015,7:39,8:26,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,90,,1.1,,PSME,9/27/2015,7:39,8:27,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,208,,2.3,,QUGA,9/27/2015,7:46,8:30,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,208,,2.3,,QUGA,9/27/2015,7:46,8:32,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,209,,2,,QUGA,9/27/2015,7:48,8:35,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,209,,2.3,,QUGA,9/27/2015,7:48,8:37,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,210,,2.8,,ARME,9/27/2015,7:50,8:40,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,210,,2.9,,ARME,9/27/2015,7:50,8:42,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,,209,,0.3,,QUGA,5/4/2016,6:18,6:30,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,209,,0.3,,QUGA,5/4/2016,6:18,6:31,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,208,,0.25,,QUGA,5/4/2016,6:15,6:36,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,208,,0.25,,QUGA,5/4/2016,6:15,6:38,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,NT ADJ,,0.3,,QUGA,5/4/2016,6:20,6:51,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,NT ADJ,,0.25,,QUGA,5/4/2016,6:20,6:44,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,207,,0.3,,QUGA,5/4/2016,6:30,6:46,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,207,,0.4,,QUGA,5/4/2016,6:30,6:50,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,206,,0.4,,QUGA,5/4/2016,6:30,6:52,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,206,,0.45,,QUGA,5/4/2016,6:30,6:57,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,car park big oak,,0.4,,QUGA,5/4/2016,6:50,6:58,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,car park big oak,,0.3,,QUGA,5/4/2016,6:50,7:02,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,car park big oak,,0.3,,QUGA,5/4/2016,6:50,7:05,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,205,,0.3,,QUGA,5/4/2016,6:40,7:07,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,205,,0.35,,QUGA,5/4/2016,6:40,7:09,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,205,,0.35,,QUGA,5/4/2016,6:40,7:11,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,204,,0.5,,QUGA,5/4/2016,6:40,7:15,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,204,,0.55,,QUGA,5/4/2016,6:40,7:18,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,204,,0.5,,QUGA,5/4/2016,6:40,7:22,pre-dawn,5/4/2016,MATURE,"clouds, overcast, cool, humid, no rain",SHOOT,,< 2,HAHM,Dawson PMS Chamber #3,
SAGEHORN,,208,,1.8,,QUGA,5/18/2016,13:08,13:20,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,Sun-partial shade shoot,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,204,,1.7,,QUGA,5/18/2016,13:04,13:31,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,204,,1.7,,QUGA,5/18/2016,13:04,13:35,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,206,,1.8,,QUGA,5/18/2016,13:00,13:38,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,206,,1,,QUGA,5/18/2016,13:00,13:40,mid-day,5/19/2016,JUVENILE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,206,,1.8,,QUGA,5/18/2016,13:00,13:42,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,207,,1.8,,QUGA,5/18/2016,12:50,13:46,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,207,,2,,QUGA,5/18/2016,12:50,13:49,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,205,,2,,QUGA,5/18/2016,12:55,13:52,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,205,,1.9,,QUGA,5/18/2016,12:55,13:55,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,209,,1.8,,QUGA,5/18/2016,13:13,13:57,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,209,,1.6,,QUGA,5/18/2016,13:13,14:00,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,NT ADJ,,1.8,,QUGA,5/18/2016,13:17,14:04,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,car park big oak (87),,1.8,,QUGA,5/18/2016,14:09,14:09,mid-day,5/19/2016,MATURE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,Juv. adj. South Instrumented Trees,,2,,QUKE,5/18/2016,14:20,14:26,mid-day,5/19/2016,JUVENILE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,Juv. adj. South Instrumented Trees,,2,,QUGA,5/18/2016,14:19,14:29,mid-day,5/19/2016,JUVENILE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,Juv. adj. South Instrumented Trees,,2.3,,QUGA,5/18/2016,14:19,14:32,mid-day,5/19/2016,JUVENILE,"sunny, clear skies, warm (75-80F), slight to moderate breeze",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,205,,0.4,,QUGA,5/19/2016,5:33,6:08,pre-dawn,5/19/2016,MATURE,"cool (low 50sF) mod. breezy, brightening skies, sun not over horizon yet during t Collected",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,205,,0.4,,QUGA,5/19/2016,5:33,6:10,pre-dawn,5/19/2016,MATURE,"cool (low 50sF) mod. breezy, brightening skies, sun not over horizon yet during t Collected",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,Juv. adj. South Instrumented Trees,,0.6,,QUGA,5/19/2016,5:40,6:12,pre-dawn,5/19/2016,JUVENILE,"cool (low 50sF) mod. breezy, brightening skies, sun not over horizon yet during t Collected",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
SAGEHORN,,204,,0.3,,QUGA,5/19/2016,5:47,6:18,pre-dawn,5/19/2016,MATURE,"cool (low 50sF) mod. breezy, brightening skies, sun not over horizon yet during t Collected",SHOOT,,< 2,HAHM,Dawson PMS Chamber #2,
